Year,0-1,1-2,2-3,3-4,4-5
1980,0,0,0,1,0
1982,0,0,0,1,0
1985,0,0,0,1,0
1986,0,0,0,3,0
1987,0,0,3,0,0
1988,0,0,1,2,0
1989,0,0,0,2,1
1990,0,0,0,4,2
1991,0,0,0,7,1
1992,0,0,1,5,0
1993,0,0,0,7,1
1994,0,0,0,3,5
1995,0,0,0,6,4
1996,0,0,1,10,1
1997,0,1,1,8,5
1998,0,0,0,6,6
1999,1,0,0,16,4
2000,0,0,0,9,4
2001,0,0,4,15,6
2002,0,0,0,15,5
2003,0,2,0,14,7
2004,0,0,0,20,8
2005,0,0,4,16,12
2006,0,0,4,18,5
2007,0,1,6,22,8
2008,0,0,2,29,7
2009,0,0,4,20,6
2010,0,0,3,29,11
2011,0,0,2,26,8
2012,0,1,8,29,7
2013,0,0,9,37,9
2014,0,0,10,25,7
2015,0,0,12,24,13
2016,0,1,7,37,14
2017,0,1,8,30,11
2018,0,0,4,34,17
2019,0,0,6,34,18
2020,0,0,5,27,20
2021,0,0,7,38,18
2022,0,0,14,53,24
2023,0,2,5,8,8
